iter	Passed	Remaining
0	1	1155
1	1	869
2	2	774
3	2	735
4	3	726
5	5	840
6	6	955
7	8	1003
8	8	975
9	10	1017
10	10	980
11	11	971
12	12	955
13	13	958
14	14	940
15	15	935
16	16	927
17	16	910
18	17	893
19	17	877
20	18	868
21	19	869
22	21	918
23	22	932
24	23	930
25	24	922
26	25	910
27	25	899
28	27	921
29	28	915
30	29	916
31	30	922
32	32	944
33	33	938
34	35	986
35	38	1020
36	40	1043
37	40	1035
38	41	1024
39	42	1029
40	43	1018
41	44	1007
42	44	996
43	45	987
44	46	980
45	46	970
46	47	960
47	48	954
48	49	951
49	50	950
50	51	949
51	52	957
52	53	954
53	54	947
54	54	944
55	55	937
56	56	930
57	56	924
58	57	918
59	58	912
60	58	906
61	59	899
62	60	893
63	60	888
64	61	882
65	61	877
66	62	877
67	64	886
68	65	887
69	67	890
70	67	886
71	68	883
72	69	880
73	69	875
74	70	871
75	71	866
76	71	861
77	72	856
78	73	852
79	73	848
80	74	844
81	75	843
82	75	835
83	76	832
84	76	828
85	77	826
86	79	829
87	79	828
88	81	832
89	82	830
90	82	826
91	83	822
92	83	819
93	84	815
94	85	811
95	85	808
96	86	804
97	87	802
98	87	800
99	88	796
100	89	793
101	89	790
102	90	786
103	90	783
104	91	780
105	92	779
106	94	788
107	95	787
108	96	788
109	97	785
110	97	782
111	98	779
112	99	778
113	99	775
114	100	772
115	101	769
116	101	766
117	102	763
118	102	760
119	103	758
120	103	755
121	104	752
122	105	750
123	105	747
124	106	745
125	107	744
126	108	744
127	109	745
128	110	744
129	111	743
130	111	742
131	112	740
132	113	737
133	113	735
134	114	732
135	114	730
136	115	728
137	116	726
138	116	723
139	117	722
140	118	720
141	118	716
142	119	714
143	119	712
144	120	710
145	121	708
146	121	707
147	123	709
148	124	712
149	125	712
150	126	711
151	127	708
152	127	707
153	128	705
154	129	703
155	129	702
156	130	700
157	131	698
158	131	696
159	132	694
160	132	691
161	133	689
162	133	687
163	134	686
164	135	685
165	136	683
166	136	683
167	138	685
168	139	684
169	140	684
170	140	683
171	141	682
172	142	682
173	143	680
174	143	678
175	144	676
176	145	674
177	145	673
178	146	671
179	147	670
180	147	668
181	148	667
182	149	665
183	149	663
184	150	662
185	150	660
186	151	659
187	153	662
188	155	667
189	156	666
190	157	665
191	157	664
192	158	662
193	159	661
194	160	661
195	160	660
196	161	659
197	162	657
198	163	656
199	163	654
200	164	653
201	165	652
202	166	652
203	167	654
204	169	656
205	170	656
206	171	655
207	171	654
208	172	653
209	173	652
210	174	651
211	174	649
212	175	648
213	176	646
214	176	645
215	177	644
216	178	643
217	178	641
218	179	640
219	180	639
220	181	638
221	182	640
222	185	645
223	186	644
224	186	643
225	187	642
226	188	640
227	188	639
228	189	639
229	190	638
230	191	636
231	191	635
232	192	634
233	193	632
234	193	631
235	194	629
236	195	628
237	196	628
238	197	629
239	198	629
240	199	629
241	200	628
242	201	626
243	201	625
244	202	624
245	203	622
246	203	621
247	204	619
248	204	618
249	205	616
250	206	615
251	206	613
252	207	612
253	208	610
254	208	609
255	209	608
256	209	606
257	210	606
258	212	607
259	213	607
260	214	606
261	214	605
262	215	603
263	216	602
264	216	601
265	217	599
266	217	598
267	218	597
268	219	595
269	219	594
270	220	593
271	221	592
272	221	590
273	222	589
274	223	588
275	223	586
276	224	585
277	224	584
278	226	584
279	227	584
280	228	583
281	228	582
282	229	581
283	230	580
284	230	579
285	231	577
286	232	576
287	232	575
288	233	574
289	234	573
290	235	572
291	235	571
292	236	570
293	236	569
294	237	567
295	238	566
296	238	565
297	239	564
298	240	563
299	242	565
300	243	564
301	243	563
302	244	562
303	245	561
304	245	560
305	246	558
306	247	557
307	247	556
308	248	555
309	249	554
310	249	553
311	250	552
312	251	551
313	251	549
314	252	548
315	252	547
316	253	546
317	254	545
318	254	544
319	256	544
320	258	545
321	259	545
322	259	544
323	260	543
324	261	542
325	261	541
326	262	539
327	262	538
328	263	537
329	264	536
330	264	535
331	265	534
332	266	533
333	266	531
334	267	530
335	268	529
336	268	528
337	269	527
338	270	527
339	271	527
340	272	526
341	273	526
342	274	525
343	274	523
344	275	522
345	275	521
346	276	520
347	277	519
348	277	518
349	278	517
350	279	516
351	279	515
352	280	513
353	281	512
354	281	511
355	282	510
356	282	509
357	283	508
358	284	507
359	284	506
360	285	506
361	287	506
362	288	505
363	288	504
364	289	503
365	290	502
366	290	501
367	291	500
368	291	499
369	292	498
370	293	497
371	293	495
372	294	494
373	295	493
374	295	492
375	296	491
376	296	490
377	297	489
378	298	488
379	298	487
380	300	488
381	301	488
382	302	487
383	304	488
384	305	488
385	306	487
386	307	487
387	308	486
388	309	485
389	309	484
390	310	483
391	310	482
392	311	481
393	312	480
394	312	479
395	313	478
396	314	477
397	315	476
398	316	477
399	317	476
400	318	475
401	319	474
402	319	473
403	320	472
404	321	471
405	321	470
406	322	469
407	322	468
408	323	467
409	323	466
410	324	465
411	325	464
412	325	463
413	326	462
414	327	461
415	327	460
416	328	459
417	329	458
418	330	457
419	331	457
420	332	456
421	332	455
422	333	454
423	334	453
424	334	452
425	335	451
426	335	450
427	336	449
428	337	448
429	337	447
430	338	446
431	338	445
432	339	444
433	340	443
434	340	442
435	341	441
436	342	440
437	342	439
438	343	438
439	343	437
440	344	436
441	345	436
442	346	435
443	347	434
444	348	434
445	348	433
446	349	432
447	349	431
448	350	430
449	351	429
450	351	428
451	352	427
452	353	426
453	353	425
454	354	424
455	354	423
456	355	422
457	355	421
458	356	420
459	357	419
460	357	418
461	358	417
462	359	416
463	360	415
464	361	415
465	361	414
466	362	413
467	363	412
468	363	411
469	364	410
470	365	409
471	365	408
472	366	408
473	366	407
474	367	406
475	367	405
476	368	404
477	369	403
478	369	402
479	370	401
480	371	400
481	371	399
482	372	398
483	373	397
484	373	396
485	374	395
486	375	395
487	376	394
488	377	394
489	378	393
490	378	392
491	379	391
492	380	390
493	380	390
494	381	389
495	381	388
496	382	387
497	383	386
498	383	385
499	384	384
500	385	383
501	385	382
502	386	381
503	387	380
504	387	380
505	388	379
506	389	378
507	390	377
508	391	377
509	392	376
510	392	375
511	393	375
512	394	374
513	394	373
514	395	372
515	396	371
516	396	370
517	397	369
518	397	368
519	398	367
520	399	366
521	399	366
522	400	365
523	400	364
524	401	363
525	402	362
526	402	361
527	403	360
528	404	359
529	405	359
530	406	358
531	407	358
